# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.6 on 2021-08-01 at 14:20:16
#
# Requested input R.A. = 163.76654782999998 degrees
# Requested input Dec. = -8.745833512500003 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2470000.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 367 9 0 ZTF_r 445250833215 48 2.1765 35.4708 13.2846 23.1691 0.000481203 0.0739193 0.124991 0.0010261 88 30. 0.053516 0.062912 16.436 23.1691 1 2458199.7508333 367120232 1.73220934228719 59.3317780407686 0.0324763949490189 1.15415634905027 193.311141490911 110.381492302552 1.76309541655373 1.05897699099198 1.32560626676168 20.7559999465942 0.100000001490116 1.11099994182587 0.172000005841255 2458165.895058 2458450.042049 0
 1 367 9 0 ZTF_r 445272363215 0 2.311 401.44 8.76985 25.7508 9.4155e-06 0.0294025 0.0967337 1.53225e-05 570 30. 0.050287 0.051407 19.5515 25.7508 1 2458199.7723611 367120232 -6.7193630351128 38.1768125208687 -0.195786724960377 1.0105703625184 -72.5690729011507 67.4191652361613 -1.08363592943464 1.04819677793992 1.32560626676168 20.7559999465942 0.100000001490116 1.11099994182587 0.172000005841255 2458165.895058 2458450.042049 0
 2 367 9 0 ZTF_g 450187003215 0 4.1579 550.126 13.2768 26.1792 4.6701e-05 0.0458752 -0.12057 0.000108599 305 30. 0.06984 0.072464 18.926 26.1792 1 2458204.6870023 367120132 19.1851104493161 89.9134932004297 0.237352731624663 0.956939644152815 42.0929983122643 120.741490945393 0.350968807374424 1.07635726599854 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 3 367 9 0 ZTF_g 450280563215 0 3.4761 579.936 12.1104 26.2234 2.66201e-05 0.040528 -0.102071 5.6808e-05 384 30. 0.069734 0.065273 19.2138 26.2234 1 2458204.7805671 367120132 56.8841190825895 73.3868366647468 0.862239015035813 0.915014564713927 73.4427236683049 103.01130920033 0.71775968300667 1.0774174479373 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 4 367 9 0 ZTF_g 453284373215 0 2.4533 580.813 23.2237 26.2019 3.29912e-05 0.0394492 -0.0559266 7.46833e-05 313 30. 0.054159 0.046674 18.7985 26.2019 1 2458207.784375 367120132 -184.740952992303 114.425580055247 -1.79595254936861 0.98503860861692 -184.059454033377 193.537186660977 -0.957434115081604 1.06426269739957 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 5 367 9 0 ZTF_g 453294823215 1 2.5742 301.461 41.6465 25.6313 0.000918125 0.100862 -0.0660437 0.00268718 104 30. 0.053471 0.054594 17.5214 25.6313 1 2458207.7948264 367120132 103.922726207589 173.716718567466 0.665462695826994 0.991218668014276 -85.6253336341409 284.697983672771 -0.302784108515824 1.07594626183354 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 6 367 9 0 ZTF_g 456261793215 0 2.3963 454.163 16.5442 25.9346 3.09028e-05 0.0399056 -0.0525735 7.01883e-05 338 30. 0.04872 0.053776 19.0453 25.9346 1 2458210.761794 367120132 -74.1349257054512 81.1098490702501 -1.01672631581031 0.934521065282607 -410.79092229485 135.237387521519 -3.05801250948832 1.07747128069017 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 7 367 9 0 ZTF_g 456277303215 0 2.5623 430.088 17.0881 25.8681 5.35361e-05 0.0482995 -0.0414444 0.000127983 291 30. 0.052151 0.060538 18.7955 25.8681 1 2458210.7773032 367120132 -28.9544308946809 90.0850849599023 -0.357533665864257 1.03141036583364 121.856171437204 142.652669969634 0.859969040810323 1.09274060629654 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 8 367 9 0 ZTF_r 461243053215 0 2.4113 201.995 9.68157 24.9883 5.18319e-05 0.0601807 0.0939283 8.59236e-05 442 30. 0.055602 0.058689 18.5827 24.9883 1 2458215.7430556 367120232 -34.0997348513929 48.1492932561128 -0.787799836445193 1.12423355710288 -31.5700580319201 77.7733105333001 -0.408657982683367 1.08867976595994 1.32560626676168 20.7559999465942 0.100000001490116 1.11099994182587 0.172000005841255 2458165.895058 2458450.042049 0
 9 367 9 0 ZTF_g 461258093215 0 4.4034 231.639 6.81837 25.1562 0.000112908 0.054705 -0.0385929 0.000287337 188 30. 0.071704 0.08188 18.597 25.1562 1 2458215.7580903 367120132 -16.7419616574334 56.9574499132695 -0.326972032649399 1.04302909551003 24.9086819334222 69.3312684340331 0.361690243172489 1.30216996809129 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 10 367 9 0 ZTF_r 464219033215 0 2.1339 553.758 7.17035 26.0869 5.0619e-06 0.0215672 0.0992813 8.22451e-06 569 30. 0.050456 0.050015 20.1515 26.0869 1 2458218.7190394 367120232 -56.199768201432 28.0769185588603 -2.22658809735017 1.08137823385191 -29.1218636075112 51.2303092369525 -0.572278431871818 1.0516346826462 1.32560626676168 20.7559999465942 0.100000001490116 1.11099994182587 0.172000005841255 2458165.895058 2458450.042049 0
 11 367 9 0 ZTF_r 464238793215 0 2.0309 570.578 7.02893 26.1128 6.1838e-06 0.0237029 0.108631 9.97567e-06 568 30. 0.047507 0.052204 20.227 26.1128 1 2458218.7387963 367120232 -65.8038250510712 27.3708303107964 -2.67434829993691 1.02055803066918 -64.8801005278992 50.5176502785557 -1.29295545967924 1.05261236141437 1.32560626676168 20.7559999465942 0.100000001490116 1.11099994182587 0.172000005841255 2458165.895058 2458450.042049 0
 12 367 9 0 ZTF_r 469178983215 0 2.4592 584.563 6.90905 26.1472 6.1983e-06 0.0238112 0.0964105 1.0068e-05 572 30. 0.050852 0.051489 20.0917 26.1472 1 2458223.6789815 367120232 5.85199901117033 31.7610500889119 0.204957678105811 0.995256937850021 39.997448568355 55.2923590668856 0.728253132354197 1.04920731753748 1.32560626676168 20.7559999465942 0.100000001490116 1.11099994182587 0.172000005841255 2458165.895058 2458450.042049 0
 13 367 9 0 ZTF_g 475164653215 0 4.5317 560.599 6.65703 26.1585 2.07775e-05 0.0388903 -0.0772296 4.31075e-05 442 30. 0.075069 0.073295 19.5499 26.1585 1 2458229.6646528 367120132 5.17289584105617 46.9187561516357 0.122642796487634 0.964793739549946 14.8051037599628 59.1296889555565 0.252069937266189 1.12542408077615 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 14 367 9 0 ZTF_g 481169433215 0 2.9373 581.545 17.3052 26.2046 3.0041e-05 0.0389488 -0.0600669 6.60493e-05 326 30. 0.056553 0.058187 18.9833 26.2046 1 2458235.6694329 367120132 -24.1252207112701 90.6146758181398 -0.296160786837222 1.12429884665224 -9.49416755676139 135.921274627688 -0.0703209364956556 1.08814309126039 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 15 367 9 0 ZTF_g 481189353215 0 2.3347 585.724 17.2411 26.2006 2.42828e-05 0.0402872 -0.0545059 5.18596e-05 415 30. 0.04993 0.050533 19.2959 26.2006 1 2458235.6893519 367120132 10.9075100580752 74.0886681124911 0.163767845536064 0.96307936822302 -62.9965100031523 127.506441143782 -0.497392873282425 1.06105619102363 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 16 367 9 0 ZTF_g 484168683215 0 3.2376 567.256 17.6775 26.1621 5.01164e-05 0.0457946 -0.0606223 0.000116832 277 30. 0.059561 0.064021 18.8291 26.1621 1 2458238.6686806 367120132 -8.05869675927937 117.371540552207 -0.0763759825238483 0.991592441070727 36.0145082699765 165.381879146949 0.219232410722884 1.10397628529597 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 17 367 9 0 ZTF_r 490151303215 0 2.4925 580.309 7.54509 26.1548 7.4706e-06 0.0263907 0.0947403 1.22164e-05 573 30. 0.053217 0.051776 19.9705 26.1548 1 2458244.6513079 367120232 27.0464356180639 35.7574290468003 0.84139234054456 0.981168546235631 30.1635032847461 61.2559673401092 0.495733844936602 1.04355032858304 1.32560626676168 20.7559999465942 0.100000001490116 1.11099994182587 0.172000005841255 2458165.895058 2458450.042049 0
 18 367 9 0 ZTF_g 490191113215 0 2.9412 548.214 5.17343 26.1536 1.12588e-05 0.0317104 -0.104725 1.94306e-05 550 30. 0.058209 0.058166 20.1622 26.1536 1 2458244.6911111 367120132 29.6580507445852 30.1381775632478 1.09466294639126 0.97334470841607 24.6358538441131 46.8367089791911 0.529537157450449 1.05817062670504 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 19 367 9 0 ZTF_r 493212913215 0 1.8818 597.81 6.72231 26.1521 6.019e-06 0.0233477 0.109198 9.72128e-06 569 30. 0.049075 0.049354 20.3704 26.1521 1 2458247.7129167 367120232 9.43026390972069 28.8950204739401 0.363040972053584 0.995353576655259 39.0817894322254 53.5613621540378 0.734578172591388 1.0576784840676 1.32560626676168 20.7559999465942 0.100000001490116 1.11099994182587 0.172000005841255 2458165.895058 2458450.042049 0
 20 367 9 0 ZTF_g 505169343215 0 2.2681 135.043 12.3224 24.6573 7.4322e-05 0.0426201 -0.0860847 0.00019073 181 30. 0.054954 0.049871 17.9974 24.6573 1 2458259.6693403 367120132 13.9814494919697 52.8529893464298 0.294264209513221 0.991583217841956 71.0857838651574 94.0211006216832 0.761154147698831 1.05367838853187 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
 21 367 9 0 ZTF_g 670502813215 0 3.0943 466.212 8.0332 25.9025 2.92529e-05 0.0468839 0.00527872 5.99546e-05 451 30. 0.119588 0.094759 19.5215 25.9025 1 2458425.0028125 367120132 17.6777167252328 52.9479098091562 0.371391663443723 0.997292896322279 40.0331281834609 76.3658256037392 0.527759024229098 1.12331767139046 1.91220575503408 21.4030000686646 0.195999994874001 1.05999994277954 -0.14300000667572 2458204.687002 2458465.019988 0
