# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.6 on 2021-08-05 at 14:16:44
#
# Requested input R.A. = 34.952012895652175 degrees
# Requested input Dec. = 28.460850223913045 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2470000.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 604 13 3 ZTF_r 534465975115 0 3.9288 123.544 7.90797 26.0209 1.70947e-05 0.0426621 0.091625 2.68188e-05 745 30. 0.080949 0.07332 19.3891 26.0209 1 2458288.9659722 604120251 -79.9853442109232 57.7682090710912 -1.54019715000222 1.1838200377691 -91.1767415817984 73.8631898125583 -1.24271402866751 1.17160045199464 3.40802733808252 17.9699996948242 0.120999999344349 2.10500001907349 0.354000002145767 2458303.966204 2458372.888889 0
 1 604 13 3 ZTF_g 542483045115 0 2.8479 70.9758 20.9309 26.153 5.83802e-05 0.0510569 -0.038959 0.000140027 383 30. 0.060531 0.056416 18.7267 26.153 1 2458296.983044 604120151 79.6912368586456 124.837467918675 0.710101479036245 1.05788344870618 -63.8684591260775 192.019316049995 -0.334854941657101 1.11612906638277 3.08817828723107 19.8230001449585 0.153999999165535 4.5479998588562 0.632000029087067 2458303.954352 2458351.946690 0
 2 605 16 2 ZTF_r 544452816215 0 3.1044 167.487 12.5174 25.9494 1.5348e-05 0.0391521 0.100721 2.35676e-05 691 30. 0.071001 0.062817 19.033 25.9494 1 2458298.9528125 605120262 217.650069336087 77.8400789666033 3.11035774366638 0.962000015712504 230.408065382319 111.040729758033 2.08896210845007 1.10929233370528 4.25969430822286 18.1279996871948 0.171000003814697 5.2979998588562 0.532000005245209 2458298.952812 2458447.855336 0
 3 604 13 3 ZTF_r 546420715115 0 3.1781 111.308 12.037 25.9237 1.62297e-05 0.0417067 0.088093 2.54678e-05 747 30. 0.086453 0.070439 19.0257 25.9237 1 2458300.9207176 604120251 128.236000878231 65.5580750037621 2.175898205939 1.06755428000192 442.109966631581 101.100189304977 4.40244084361662 1.06374090878916 3.40802733808252 17.9699996948242 0.120999999344349 2.10500001907349 0.354000002145767 2458303.966204 2458372.888889 0
 4 604 13 3 ZTF_g 546464255115 0 2.7254 67.3932 11.4697 26.1006 1.91986e-05 0.0385665 -0.062739 3.92723e-05 584 30. 0.06058 0.050351 19.3662 26.1006 1 2458300.9642593 604120151 108.546452238567 60.8067178012961 1.98572394418385 1.09403639599522 66.6942407444156 96.2857891304035 0.697334787401923 1.10151106947403 3.08817828723107 19.8230001449585 0.153999999165535 4.5479998588562 0.632000029087067 2458303.954352 2458351.946690 0
 5 605 16 2 ZTF_r 547445376215 0 2.1727 169.022 9.79313 25.9633 8.2576e-06 0.0298172 0.0919215 1.25254e-05 750 30. 0.063535 0.055561 19.6185 25.9633 1 2458301.9453704 605120262 -107.10460176647 47.872001900926 -2.48875039959357 0.889748839959763 -177.113123119856 84.991860725329 -2.09791842033548 1.05477419222197 4.25969430822286 18.1279996871948 0.171000003814697 5.2979998588562 0.532000005245209 2458298.952812 2458447.855336 0
 6 605 16 2 ZTF_g 547476166215 0 2.2048 82.7249 11.522 26.0573 1.7706e-05 0.0391235 -0.0427767 3.27652e-05 617 30. 0.056758 0.048434 19.4758 26.0573 1 2458301.976169 605120162 -20.1379401164451 53.9267747395564 -0.415398954795698 0.987015146137182 -121.012137098398 95.0146875751383 -1.28219293157004 1.06523826177058 3.86329937869524 18.7100002288818 0.142000004649162 3.03800010681152 0.312000006437302 2458304.965961 2458382.936019 0
 7 604 13 3 ZTF_g 549454355115 0 2.5573 65.9418 9.52692 26.0644 1.6215e-05 0.0375473 -0.0689579 2.9813e-05 642 30. 0.058226 0.048066 19.5791 26.0644 1 2458303.9543519 604120151 27.01711696536 51.5871086635874 0.582576036743749 1.09229803562443 9.94592947757341 84.6899990479078 0.118230204243819 1.09310942641531 3.08817828723107 19.8230001449585 0.153999999165535 4.5479998588562 0.632000029087067 2458303.954352 2458351.946690 0
 8 604 13 3 ZTF_r 549466205115 0 2.2253 126.641 8.78754 26.0569 5.1382e-06 0.0234885 0.0869706 7.80214e-06 757 30. 0.048279 0.047281 19.794 26.0569 1 2458303.9662037 604120251 14.5513039986102 42.4250108492179 0.381535324105514 1.08768303176996 145.670329039235 77.9260563185615 1.8819305635965 1.05115653557596 3.40802733808252 17.9699996948242 0.120999999344349 2.10500001907349 0.354000002145767 2458303.966204 2458372.888889 0
