# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-01-16 at 07:58:30
#
# Requested input R.A. = 20.057183460869563 degrees
# Requested input Dec. = -0.044645773913043474 degrees
# Requested JD start = 2459107.875 days
# Requested JD end = 2459140.797 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 399 16 3 ZTF_g 1353375816315 0 1.7546 53.9538 4.33113 25.7349 2.25953e-05 0.0309846 -0.0440275 3.27611e-05 282 30. 0.082473 0.079773 20.4225 25.7349 1 2459107.8758102 399120163 111.328948046676 20.2129302229655 6.1267989567852 1.02417054115238 161.481027115964 38.2960454013812 4.24504957158116 1.05377355557781 0.266676755751657 20.2320000648499 0.0759999975562096 3.04099988937378 0.270999997854233 2458307.961412 2458362.976250 0
 1 399 16 3 ZTF_r 1353419106315 0 1.9929 126.643 6.07411 25.8165 2.6776e-05 0.0335433 0.123077 3.86449e-05 283 30. 0.08033 0.078979 20.0865 25.8165 1 2459107.9191088 399120263 64.6633354465822 25.6236753912777 2.80718787705697 1.09580807414561 -36.8830672529121 46.8216311811688 -0.79304107730143 1.05281892060931 0.310929737921155 19.9029997825623 0.0529999993741512 2.62899994850159 0.123000003397465 2458312.942662 2458363.967396 0
 2 399 16 3 ZTF_g 1356338116315 0 2.3421 60.2439 4.58692 25.8805 4.0785e-05 0.0420737 -0.0422501 6.11333e-05 283 30. 0.101128 0.119562 20.251 25.8805 1 2459110.8381134 399120163 284.872675911219 27.1291299866894 11.6807231252422 1.03487118218496 261.432194026499 44.5572776343105 5.90684550018553 1.06456743864131 0.266676755751657 20.2320000648499 0.0759999975562096 3.04099988937378 0.270999997854233 2458307.961412 2458362.976250 0
 3 1443 6 2 ZTF_r 1358404162215 0 1.6359 442.285 6.28772 26.3328 1.72455e-05 0.0280711 0.0997261 2.38492e-05 322 30. 0.100016 0.070238 20.6201 26.3328 2 2459112.9041667 1443120222 null null null null null null null null null null null null null 2458335.978982 2458774.741632 56,57
 4 1443 6 2 ZTF_r 1358404622215 0 1.5186 444.092 6.33865 26.3316 2.11534e-05 0.0312861 0.11048 2.93134e-05 322 30. 0.09747 0.082198 20.6258 26.3316 3 2459112.9046296 1443120222 null null null null null null null null null null null null null 2458335.978982 2458774.741632 56,57
 5 399 16 3 ZTF_r 1358406046315 0 1.4977 172.678 5.58203 26.1791 1.5054e-05 0.0253416 0.10687 2.19508e-05 289 30. 0.081414 0.079985 20.6601 26.1791 1 2459112.9060417 399120263 524.119317449786 24.4126427809318 23.8819712689622 1.11019507366262 448.37556112216 44.6456514753033 10.1106240228853 1.03039596226044 0.310929737921155 19.9029997825623 0.0529999993741512 2.62899994850159 0.123000003397465 2458312.942662 2458363.967396 0
 6 399 16 3 ZTF_r 1359339406315 0 1.8148 163.289 5.92086 26.0887 1.50433e-05 0.0255172 0.10451 2.18615e-05 291 30. 0.078835 0.070417 20.4476 26.0887 1 2459113.8394097 399120263 551.837177072042 27.8035505495234 22.0782932292563 0.972789093416473 616.003745865291 51.6026392711605 12.017845894987 1.03162395471951 0.310929737921155 19.9029997825623 0.0529999993741512 2.62899994850159 0.123000003397465 2458312.942662 2458363.967396 0
 7 1443 6 2 ZTF_r 1359345912215 0 1.852 419.284 6.73418 26.2755 2.29717e-05 0.0326875 0.114895 3.19024e-05 321 30. 0.101127 0.070729 20.4135 26.2755 2 2459113.8459144 1443120222 null null null null null null null null null null null null null 2458335.978982 2458774.741632 56,57
 8 1443 6 2 ZTF_r 1359346382215 0 1.6023 418.289 6.74719 26.2631 1.64253e-05 0.0276276 0.115765 2.27806e-05 321 30. 0.096086 0.069524 20.4935 26.2631 3 2459113.8463889 1443120222 null null null null null null null null null null null null null 2458335.978982 2458774.741632 56,57
