# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-01-16 at 08:01:30
#
# Requested input R.A. = 30.784562461764708 degrees
# Requested input Dec. = 36.73067788235294 degrees
# Requested JD start = 2459843.89 days
# Requested JD end = 2459885.77 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 652 15 0 ZTF_r 2089410105615 0 1.6792 114.242 6.02137 26.271 2.1787e-06 0.0203907 0.0885147 3.88505e-06 1199 30. 0.056185 0.04875 20.6808 26.271 1 2459843.9101042 652120256 87.8592705165124 22.3204228005268 4.37864743186722 0.957880804136328 69.7700517049296 41.6155247215092 1.68783062300478 1.05688391809334 0.537495544871271 21.6529997825623 0.0750000029802322 0.421000003814697 0.0549999997019768 2458321.985995 2458373.975440 0
 1 652 15 0 ZTF_g 2092359935615 0 1.8788 90.8771 5.12959 26.3694 4.2794e-06 0.0284862 -0.0595856 7.62491e-06 1191 30. 0.057204 0.05219 20.8501 26.3694 1 2459846.8599306 652120156 302.023320418022 27.6286581770404 12.1600534979472 1.09516200848107 297.403621959627 46.5376986014045 6.43363684631323 1.1076486313734 0.830471417732618 22.2329999923706 0.223000004887581 1.33399999141693 0.428999990224838 2458291.949931 2458349.933472 0
 2 652 15 0 ZTF_r 2092424835615 0 1.671 112.941 6.53769 26.2619 2.4968e-06 0.0220249 0.0864868 4.43974e-06 1216 30. 0.05609 0.059522 20.5892 26.2619 1 2459846.924838 652120256 196.750586037126 25.2975271285438 8.65152695849194 0.948662346223329 165.049873918244 45.997990475311 3.61236420544063 1.06102339913362 0.537495544871271 21.6529997825623 0.0750000029802322 0.421000003814697 0.0549999997019768 2458321.985995 2458373.975440 0
 3 652 15 0 ZTF_g 2094434065615 0 1.8093 90.2966 5.13492 26.3667 3.5645e-06 0.0259942 -0.0665457 6.34067e-06 1186 30. 0.060052 0.05132 20.8601 26.3667 1 2459848.9340625 652120156 542.674528122481 26.8999075611712 22.4410643345094 1.19304069407773 546.90282784857 44.4510300536158 12.3863552587202 1.08944154863074 0.830471417732618 22.2329999923706 0.223000004887581 1.33399999141693 0.428999990224838 2458291.949931 2458349.933472 0
 4 652 15 0 ZTF_r 2094469235615 0 1.6713 111.734 6.48462 26.2485 2.1907e-06 0.0203215 0.0873266 3.89481e-06 1186 30. 0.056255 0.050497 20.583 26.2485 1 2459848.9692361 652120256 453.52666323992 24.4050904355241 20.6717481155623 1.0776545950109 521.194925569089 42.5294645008064 12.3374514478016 1.05473694033749 0.537495544871271 21.6529997825623 0.0750000029802322 0.421000003814697 0.0549999997019768 2458321.985995 2458373.975440 0
 5 652 15 0 ZTF_g 2096399305615 0 1.4891 88.7309 4.72053 26.3432 3.9364e-06 0.0274919 -0.0633127 7.00492e-06 1200 30. 0.062586 0.056594 20.9753 26.3432 1 2459850.8993056 652120156 741.673543545746 26.6599552191335 30.946260209001 1.38249370499175 691.196857858247 42.79482518592 16.260192802302 1.09008896317316 0.830471417732618 22.2329999923706 0.223000004887581 1.33399999141693 0.428999990224838 2458291.949931 2458349.933472 0
 6 652 15 0 ZTF_r 2098330695615 0 1.9091 112.353 5.58481 26.2678 2.0343e-06 0.0195991 0.0810834 3.61308e-06 1188 30. 0.060808 0.044182 20.67 26.2678 1 2459852.8306944 652120256 751.113933840117 25.8662630856845 32.3018152778481 1.25245057326376 744.834495084641 42.6127204528147 17.596881642263 1.04742379551458 0.537495544871271 21.6529997825623 0.0750000029802322 0.421000003814697 0.0549999997019768 2458321.985995 2458373.975440 0
 7 652 15 0 ZTF_g 2098345875615 0 1.8956 90.9649 4.47758 26.3786 3.6212e-06 0.02631 -0.0807145 6.41753e-06 1200 30. 0.064283 0.04883 20.9906 26.3786 1 2459852.8458796 652120156 1019.06451533248 27.5035827171847 41.2161299048297 1.50028396636452 888.4417237019 41.2974962368808 21.6581030650637 1.0822936012691 0.830471417732618 22.2329999923706 0.223000004887581 1.33399999141693 0.428999990224838 2458291.949931 2458349.933472 0
 8 652 15 0 ZTF_r 2100345705615 0 1.5465 110.92 5.60648 26.2397 2.6172e-06 0.0221592 0.0872682 4.66349e-06 1179 30. 0.060444 0.0585 20.7797 26.2397 1 2459854.845706 652120256 885.701661312986 25.7421129093565 38.2734903506884 1.39372870268382 862.029900933452 40.2176267860551 21.5784916034369 1.05650284780484 0.537495544871271 21.6529997825623 0.0750000029802322 0.421000003814697 0.0549999997019768 2458321.985995 2458373.975440 0
 9 652 15 0 ZTF_g 2100386485615 0 1.8923 89.0714 4.1645 26.3531 4.5726e-06 0.0295912 -0.0792891 8.10588e-06 1203 30. 0.07097 0.050544 21.0401 26.3531 1 2459854.8864815 652120156 1208.17476991105 27.7194365196937 48.4841923575793 1.69833424919904 1150.46743556038 39.2284207787631 29.5249178258518 1.08200508122295 0.830471417732618 22.2329999923706 0.223000004887581 1.33399999141693 0.428999990224838 2458291.949931 2458349.933472 0
